,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
174,Anourosorex yamashinai,8.157340556,EULIPOTYPHLA,SORICIDAE,Anourosorex,LC,Carnivore,5479.8068330915
175,Antechinus adustus,30.5,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,626.2636380676
176,Antechinus agilis,22.13,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,74838.5047490782
177,Antechinus flavipes,44.33,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,412864.303396065
178,Antechinus godmani,75.74,DASYUROMORPHIA,DASYURIDAE,Antechinus,NT,Carnivore,626.2636380676
179,Antechinus leo,70.09,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,4070.7136474394
180,Antechinus minimus,52.56,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,38515.2137411574
181,Antechinus stuartii,29.01,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,64818.2865399966
182,Antechinus subtropicus,46.86444444,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,9550.5204805309
183,Antechinus swainsonii,58.69,DASYUROMORPHIA,DASYURIDAE,Antechinus,LC,Carnivore,167525.523183083
184,Anthops ornatus,19.66146341,CHIROPTERA,HIPPOSIDERIDAE,Anthops,DD,Carnivore,7045.4659282605
185,Antrozous pallidus,22.24,CHIROPTERA,VESPERTILIONIDAE,Antrozous,LC,Carnivore,292151.987158535
186,Aonyx capensis,19322.22,CARNIVORA,MUSTELIDAE,Aonyx,NT,Carnivore,312192.423576699
187,Aonyx congicus,23800.2,CARNIVORA,MUSTELIDAE,Aonyx,NT,Carnivore,1186926.16004762
188,Aotus azarae,929.57,PRIMATES,AOTIDAE,Aotus,LC,Omnivore,2653009.33676387
189,Aotus brumbacki,800.0,PRIMATES,AOTIDAE,Aotus,VU,Omnivore,30060.6546272448
190,Aotus griseimembra,966.0,PRIMATES,AOTIDAE,Aotus,VU,Omnivore,43055.6251171475
191,Aotus jorgehernandezi,889.745,PRIMATES,AOTIDAE,Aotus,DD,Omnivore,1252.5272761352
192,Aotus lemurinus,865.96,PRIMATES,AOTIDAE,Aotus,VU,Omnivore,97383.9957195118
193,Aotus miconax,800.0,PRIMATES,AOTIDAE,Aotus,VU,Omnivore,21449.5296038153
194,Aotus nancymaae,791.03,PRIMATES,AOTIDAE,Aotus,VU,Omnivore,497409.894535191
195,Aotus nigriceps,1057.0,PRIMATES,AOTIDAE,Aotus,LC,Omnivore,1218239.341951
196,Aotus trivirgatus,912.4,PRIMATES,AOTIDAE,Aotus,LC,Omnivore,660081.87452325
197,Aotus vociferans,872.99,PRIMATES,AOTIDAE,Aotus,LC,Omnivore,1011572.34138869
198,Aotus zonalis,902.5,PRIMATES,AOTIDAE,Aotus,DD,Omnivore,104429.461647772
199,Apodemus agrarius,21.11,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,7568865.76377549
200,Apodemus alpicola,28.055,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,43525.3228456982
201,Apodemus argenteus,15.0,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,148581.048131538
202,Apodemus chevrieri,32.9,RODENTIA,MURIDAE,Apodemus,LC,Herbivore,325657.091795152
203,Apodemus draco,22.25,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,292621.684887086
204,Apodemus epimelas,63.85388804,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,173788.159563759
205,Apodemus flavicollis,31.6,RODENTIA,MURIDAE,Apodemus,LC,Herbivore,1692477.48187769
206,Apodemus gurkha,39.9,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,3287.8840998549
207,Apodemus hyrcanicus,63.85388804,RODENTIA,MURIDAE,Apodemus,NT,Omnivore,15656.59095169
208,Apodemus latronum,35.2,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,421788.560238528
209,Apodemus mystacinus,43.84,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,324874.262247567
210,Apodemus pallipes,63.85388804,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,34287.9341842011
211,Apodemus peninsulae,32.9,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,4454769.82348435
212,Apodemus ponticus,26.7,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,230308.45289936
213,Apodemus rusiges,21.5,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,8297.9932043957
214,Apodemus semotus,25.77,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,34444.500093718
215,Apodemus speciosus,43.75,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,326283.35543322
216,Apodemus sylvaticus,21.9,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,4550431.59419918
217,Apodemus uralensis,18.26,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,3901935.59698018
218,Apodemus witherbyi,20.66,RODENTIA,MURIDAE,Apodemus,LC,Omnivore,59808.1774354558
219,Apomys abrae,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore,9393.954571014
220,Apomys camiguinensis,32.69125,RODENTIA,MURIDAE,Apomys,VU,Omnivore,156.5659095169
221,Apomys datae,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore,10020.2182090816
222,Apomys gracilirostris,32.69125,RODENTIA,MURIDAE,Apomys,LC,Omnivore,469.6977285507
223,Apomys hylocetes,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore,3131.318190338
224,Apomys insignis,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore,40080.8728363264
225,Apomys littoralis,30.95,RODENTIA,MURIDAE,Apomys,DD,Omnivore,469.6977285507
226,Apomys microdon,34.98,RODENTIA,MURIDAE,Apomys,LC,Omnivore,38828.3455601912
227,Apomys musculus,21.2,RODENTIA,MURIDAE,Apomys,LC,Omnivore,26303.0727988392
228,Apomys sacobianus,34.88,RODENTIA,MURIDAE,Apomys,LC,Omnivore,1095.9613666183
229,Arabitragus jayakari,23000.0,CETARTIODACTYLA,BOVIDAE,Arabitragus,EN,Herbivore,24893.9796131871
230,Arborimus albipes,23.0,RODENTIA,CRICETIDAE,Arborimus,LC,Herbivore,54171.8046928474
231,Arborimus longicaudus,22.39,RODENTIA,CRICETIDAE,Arborimus,NT,Herbivore,37106.1205555053
232,Arborimus pomo,32.49,RODENTIA,CRICETIDAE,Arborimus,NT,Herbivore,18474.7773229942
233,Archboldomys luzonensis,35.34,RODENTIA,MURIDAE,Archboldomys,VU,Carnivore,156.5659095169
234,Arctictis binturong,12999.99,CARNIVORA,VIVERRIDAE,Arctictis,VU,Omnivore,1522133.7723233
235,Arctocebus aureus,234.16,PRIMATES,LORISIDAE,Arctocebus,LC,Omnivore,210894.280119264
236,Arctocebus calabarensis,258.01,PRIMATES,LORISIDAE,Arctocebus,LC,Omnivore,46656.6410360362
237,Arctogalidia trivirgata,2323.79,CARNIVORA,VIVERRIDAE,Arctogalidia,LC,Omnivore,1320633.44677505
238,Arctonyx collaris,8166.52,CARNIVORA,MUSTELIDAE,Arctonyx,VU,Omnivore,908708.538836087
239,Ardops nichollsi,19.23,CHIROPTERA,PHYLLOSTOMIDAE,Ardops,LC,Herbivore,1252.5272761352
240,Arielulus circumdatus,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,LC,Carnivore,42742.4932981137
241,Arielulus cuprosus,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,VU,Carnivore,313.1318190338
242,Arielulus societatis,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,VU,Carnivore,21292.9636942984
243,Arielulus torquatus,10.4,CHIROPTERA,VESPERTILIONIDAE,Arielulus,LC,Carnivore,11585.8773042506
244,Ariteus flavescens,22.96761263,CHIROPTERA,PHYLLOSTOMIDAE,Ariteus,LC,Omnivore,2974.7522808211
245,Artibeus amplus,61.04,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,LC,Omnivore,759970.924795032
