,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2
37,Boselaphus tragocamelus,182253.0,LC,137000.0,Herbivore,CETARTIODACTYLA,1932649.58707661
38,Brachyteles arachnoides,10537.31,EN,1300.0,Herbivore,PRIMATES,3131.318190338
39,Brachyteles hypoxanthus,13500.0,CR,1282.5,Herbivore,PRIMATES,14247.4977660379
40,Bubalus depressicornis,256989.3,EN,3750.0,Herbivore,CETARTIODACTYLA,82040.5365868556
41,Bubalus mindorensis,254389.7,CR,430.0,Herbivore,CETARTIODACTYLA,71.8611621992188
42,Bubalus quarlesi,181718.9,EN,75.0,Herbivore,CETARTIODACTYLA,58242.5183402868
43,Burramys parvus,44.27,CR,3375.0,Omnivore,DIPROTODONTIA,1252.5272761352
44,Caenolestes condorensis,47.81,VU,1500.0,Carnivore,PAUCITUBERCULATA,78.6828858950195
45,Callicebus barbarabrownae,1050.0,CR,390.0,Omnivore,PRIMATES,103333.500281154
46,Callicebus coimbrai,1050.0,EN,707.0,Omnivore,PRIMATES,27085.9023464237
47,Camelus ferus,268000.0,CR,1425.0,Herbivore,CETARTIODACTYLA,179424.532306367
48,Canis lupus,31756.51,LC,223607.0,Carnivore,CARNIVORA,24520256.7871703
49,Canis simensis,14361.86,EN,295.5,Carnivore,CARNIVORA,3287.8840998549
50,Capra caucasica,58149.52,EN,5477.0,Herbivore,CETARTIODACTYLA,2035.3568237197
51,Capra cylindricornis,50000.0,NT,39230.0,Herbivore,CETARTIODACTYLA,15656.59095169
52,Capra falconeri,54303.37,NT,9700.0,Herbivore,CETARTIODACTYLA,5792.9386521253
53,Capra ibex,69546.83,LC,47130.0,Herbivore,CETARTIODACTYLA,15030.3273136224
54,Capra pyrenaica,60898.77,LC,75000.0,Herbivore,CETARTIODACTYLA,16439.4204992745
55,Capra sibirica,130000.0,LC,244428.0,Herbivore,CETARTIODACTYLA,974309.654923668
56,Capra walie,100144.0,EN,500.0,Herbivore,CETARTIODACTYLA,782.8295475845
57,Capreolus capreolus,22502.01,LC,22500000.0,Herbivore,CETARTIODACTYLA,5467907.82396821
58,Capreolus pygargus,41371.03,LC,1000000.0,Herbivore,CETARTIODACTYLA,4274249.32981137
59,Capricornis crispus,43030.64,LC,150000.0,Herbivore,CETARTIODACTYLA,150616.404955258
60,Caprolagus hispidus,2496.99,EN,219.0,Herbivore,LAGOMORPHA,113197.152580719
61,Cavia intermedia,566.7175,CR,57.0,Herbivore,RODENTIA,0.293731834960937
62,Cephalophus adersi,9249.95,VU,20000.0,Herbivore,CETARTIODACTYLA,782.8295475845
63,Cephalophus callipygus,19079.23,LC,382000.0,Omnivore,CETARTIODACTYLA,213086.202852501
64,Cephalophus dorsalis,20000.0,NT,725000.0,Omnivore,CETARTIODACTYLA,1109582.60074627
65,Cephalophus jentinki,68489.54,EN,3000.0,Omnivore,CETARTIODACTYLA,41959.6637505292
66,Cephalophus leucogaster,13208.69,NT,287000.0,Omnivore,CETARTIODACTYLA,497566.460444708
67,Cephalophus natalensis,12724.51,LC,42000.0,Omnivore,CETARTIODACTYLA,270389.325735686
68,Cephalophus niger,19094.32,LC,100000.0,Omnivore,CETARTIODACTYLA,221540.761966413
69,Cephalophus nigrifrons,14676.33,LC,300000.0,Omnivore,CETARTIODACTYLA,1372456.76282515
70,Cephalophus ogilbyi,18386.42,LC,35000.0,Omnivore,CETARTIODACTYLA,154530.55269318
