,binomial,common_name
5165,Oryzorictes tetradactylus,"Four-toed Rice Tenrec, Four-toed Mole Tenrec"
5166,Sousa teuszii,"Atlantic Humpbacked Dolphin, Atlantic Hump-backed Dolphin, Cameroon Dolphin, Cameroon River Dolphin, Teusz's Dolphin"
5167,Geomys texensis,"Central Texas Pocket Gopher, Llano Pocket Gopher"
5168,Jaculus thaleri,Thaler's Jerboa
5169,Crocidura thalia,"Thalia Shrew, Thalia's Shrew"
5170,Capricornis thar,Himalayan Serow
5171,Nycteris thebaica,"Cape Long-eared Bat, Common Slit-faced Bat, Egyptian Slit-faced Bat, Geoffroy's Nycteris"
5172,Taphozous theobaldi,"Theobold's Bat, Theobald's Tomb Bat"
5173,Crocidura theresae,Therese's Shrew
5174,Mops thersites,"Railer Bat, Railer Mops Bat, Tadaride de Railer"
5175,Thylogale thetis,Red-necked Pademelon
5176,Ochotona thibetana,Moupin Pika
5177,Macaca thibetana,"Milne-edwards' Macaque, Pre David's Macaque, Short-tailed Tibetan Macaque, Tibetan Macaque"
