,binomial,common_name
5178,Ursus thibetanus,"Asiatic Black Bear, Himalayan Black Bear"
5179,Sorex thibetanus,Tibetan Shrew
5180,Genetta thierryi,Hausa Genet
5181,Piliocolobus tholloni,"Tshuapa Red Colobus, Thollon's Red Colobus"
5182,Cryptotis thomasi,"Thomas' Small-eared Shrew, Thomas's Small-eared Shrew"
5183,Microtus thomasi,Thomas's Pine Vole
5184,Phyllomys thomasi,Giant Atlantic Tree Rat
5185,Ochotona thomasi,Thomas's Pika
5186,Aeromys thomasi,Thomas's Flying Squirrel
5187,Rhinolophus thomasi,Thomas's Horseshoe Bat
5188,Presbytis thomasi,"Thomas's Langur, North Sumatran Leaf Monkey, Sumatran Grizzled Langur, Thomas's Langur, Thomas's Leaf Monkey"
5189,Aethomys thomasi,"Thomas's Rock Rat, Thomas's Aethomys"
5190,Lonchophylla thomasi,Thomas's Nectar Bat
5191,Galagoides thomasi,"Thomas's Dwarf Galago, Thomas's Bushbaby"
5192,Rheomys thomasi,Thomas's Water Mouse
5193,Microgale thomasi,"Thomas' Shrew Tenrec, Thomas's Shrew Tenrec"
5194,Megadontomys thomasi,Thomas's Giant Deer Mouse
5195,Crocidura thomensis,"So Tom Shrew, Sao Tom Shrew"
5196,Hipposideros thomensis,NA
5197,Eudorcas thomsonii,Thomson's Gazelle
5198,Eudiscoderma thongareeae,Thongaree's Disc-nosed Bat
5199,Craseonycteris thonglongyai,"Hog-nosed Bat, Bumblebee Bat, Kitti's Hog-nosed Bat"
5200,Geocapromys thoracatus,"Little Swan Island Hutia, Swan Island Hutia"
5201,Cerdocyon thous,"Crab-eating Fox, Common Zorro, Crab-eating Zorro, Savannah Fox"
5202,Vampyressa thyone,Northern Little Yellow-eared Bat
5203,Myotis thysanodes,Fringed Myotis
5204,Sicista tianshanica,Tien Shan Birch Mouse
5205,Paremballonura tiavato,Western Sheath-tailed Bat
5206,Cricetulus tibetanus,Tibetan Dwarf Hamster
5207,Lepus tibetanus,Desert Hare
5208,Hesperoptenus tickelli,Tickell's Bat
5209,Genetta tigrina,"Cape Genet, Cape Large-spotted Genet, South African Large-spotted Genet"
5210,Leopardus tigrinus,Northern Tiger Cat
5211,Panthera tigris,Tiger
5212,Sturnira tildae,Tilda's Yellow-shouldered Bat
5213,Eudorcas tilonura,"Heuglin's Gazelle, Eritrean Gazelle"
5214,Ningaui timealeyi,Pilbara Ningaui
5215,Lepus timidus,"Mountain Hare, Arctic Hare"
5216,Nesolagus timminsi,Annamite Striped Rabbit
5217,Rusa timorensis,"Javan Deer, Javan Rusa, Rusa, Rusa Deer, Sunda Sambar, Timor Deer"
5218,Rattus timorensis,"Timor Forest Rat, Timor Rat"
5219,Rattus tiomanicus,"Malaysian Field Rat, Malayan Field Rat"
5220,Kerivoula titania,Titania's Woolly Bat
5221,Cynopterus titthaecheilus,Indonesian Short-nosed Fruit Bat
5222,Akodon toba,"Chaco Grass Mouse, Toba Akodont"
5223,Calomys tocantinsi,"Tocantins Vesper Mouse, Tocantins Laucha"
5224,Babyrousa togeanensis,"Togian Islands Babirusa, Malenge Babirusa, Togian Babirusa"
5225,Pteropus tokudae,"Guam Flying Fox, Guam Fruit Bat"
5226,Mogera tokudae,"Sado Mole, Tokuda's Mole"
5227,Tokudaia tokunoshimensis,Tokunoshima Spiny Rat
5228,Lepus tolai,Tolai Hare
5229,Dermanura tolteca,Toltec Fruit-eating Bat
5230,Sigmodon toltecus,Toltec Cotton Rat
5231,Chaerephon tomensis,So Tom Free-tailed Bat
5232,Kunsia tomentosus,Woolly Giant Rat
5233,Hesperoptenus tomesi,"Large False Serotine, Tomes' False Serotine"
5234,Pteropus tonganus,"Pacific Flying Fox, Insular Flying-fox"
5235,Macaca tonkeana,"Tonkean Macaque, Tonkean Black Macaque"
5236,Mustela tonkinensis,Tonkin Weasel
5237,Myonycteris torquata,Little Collared Fruit Bat
5238,Bradypus torquatus,"Maned Three-toed Sloth, Brazilian Three-toed Sloth, Maned Sloth"
5239,Cercocebus torquatus,"Red-capped Mangabey, Collared Mangabey, Red-crowned Mangabey, Sooty Mangabey, White-collared Mangabey"
5240,Dicrostonyx torquatus,"Arctic Lemming, Palearctic Collared Lemming"
5241,Ctenomys torquatus,Collared Tuco-tuco
5242,Arielulus torquatus,"Necklace Sprite, Necklace Pipistrelle"
5243,Cheiromeles torquatus,"Greater Naked Bat, Hairless Bat"
5244,Callicebus torquatus,"Collared Titi Monkey, Collared Titi, Widow Monkey, Yellow Handed Titi"
5245,Akodon torques,"Cloud Forest Grass Mouse, Cloud Forest Akodont"
5246,Boromys torrei,Torre's Cave Rat
5247,Bibimys torresi,"Torres's Crimson-nosed Rat, Torres's Akodont"
5248,Onychomys torridus,Southern Grasshopper Mouse
5249,Arctocephalus townsendi,Guadalupe Fur Seal
5250,Lepus townsendii,White-tailed Jackrabbit
5251,Corynorhinus townsendii,Townsend's Big-eared Bat
5252,Neotamias townsendii,Townsend's Chipmunk
5253,Urocitellus townsendii,Townsend's Ground Squirrel
5254,Scapanus townsendii,Townsend's Mole
5255,Microtus townsendii,"Townsend's Vole, Triangle Island Vole"
5256,Thomomys townsendii,Townsend's Pocket Gopher
5257,Sphaeronycteris toxophyllum,Visored Bat
5258,Nycteris tragata,Malayan Slit-faced Bat
5259,Boselaphus tragocamelus,"Nilgai, Bluebuck"
5260,Taterillus tranieri,Tranieri's Tateril
5261,Microtus transcaspicus,"Baluchistan Vole, Middle East Vole, Transcaspian Vole"
5262,Sylvilagus transitionalis,"New England Cottontail, Wood Rabbit"
5263,Microakodontomys transitorius,Transitional Colilargo
5264,Mesoplodon traversii,"Spade-toothed Whale, Bahamondi's Beaked Whale, Traver's Beaked Whale"
5265,Chrysospalax trevelyani,Giant Golden Mole
5266,Mops trevori,"Trevor's Mops Bat, Trevor's Bat, Trevor's Free-tailed Bat"
5267,Rhipidomys tribei,NA
5268,Zygogeomys trichopus,Michoacan Pocket Gopher
5269,Allocebus trichotis,Hairy-eared Dwarf Lemur
5270,Chibchanomys trichotis,"Chibchan Water Mouse, Chibchan Ichthyomyine"
5271,Crocidura trichura,Christmas Island Shrew
5272,Tolypeutes tricinctus,Brazilian Three-banded Armadillo
5273,Thyroptera tricolor,Spix's Disk-winged Bat
5274,Myotis tricolor,"Cape Hairy Bat, Cape Myotis, Temminck's Mouse-eared Bat, Three-coloured bat"
5275,Aselliscus tricuspidatus,"Trident Leaf-nosed Bat, Temminck's Asian Trident Bat, Temminck's Trident Bat"
5276,Phataginus tricuspis,"White-bellied Pangolin, African White-bellied Pangolin, Three-cusped Pangolin, Tree Pangolin"
5277,Myrmecophaga tridactyla,Giant Anteater
5278,Potorous tridactylus,Long-nosed Potoroo
5279,Bradypus tridactylus,"Pale-throated Three-toed Sloth, Pale-throated Sloth"
5280,Ictidomys tridecemlineatus,"Thirteen-lined Ground Squirrel, Big Horn Thirteen-lined Ground Squirrel"
5281,Asellia tridens,"Geoffroy's Trident Leaf-nosed Bat, Trident Bat, Trident Leaf-nosed Bat"
5282,Rhinolophus trifoliatus,Trefoil Horseshoe Bat
5283,Lemmus trimucronatus,Brown Lemming
5284,Peropteryx trinitatis,Trinidad Dog-like Bat
5285,Oecomys trinitatis,"Long-furred Rice Rat, Trinidad Arboreal Rice Rat"
5286,Proechimys trinitatis,Trinidad Spiny Rat
5287,Chiroderma trinitatum,Little Big-eyed Bat
5288,Zapus trinotatus,"Pacific Jumping Mouse, Point Reyes Jumping Mouse"
5289,Saguinus tripartitus,"Golden-mantle Saddleback Tamarin, Golden-mantled Saddle-back Tamarin, Golden-mantled Tamarin"
5290,Miniopterus tristis,"Great Long-fingered Bat, Great Bent-winged Bat, Greater Bent-winged Bat"
5291,Meriones tristrami,Tristram's Jird
5292,Funambulus tristriatus,"Western Ghats Striped Squirrel, Jungle Palm Squirrel, Jungle Striped Squirrel, Western Ghats Squirrel"
5293,Mus triton,"Gray-bellied Mouse, Gray-bellied Pygmy Mouse"
5294,Tscherskia triton,Greater Long-tailed Hamster
5295,Arctogalidia trivirgata,"Small-toothed Palm Civet, Three-striped Palm Civet"
5296,Dactylopsila trivirgata,Striped Possum
5297,Hybomys trivirgatus,"Temminck's Striped Mouse, West African Hybomys"
5298,Aotus trivirgatus,"Northern Night Monkey, Douroucouli, Night Monkey, Northern Owl Monkey, Owl Monkey, Three-striped Gray Night Monkey, Three-striped Night Monkey"
5299,Pan troglodytes,"Chimpanzee, Common Chimpanzee, Robust Chimpanzee"
5300,Bettongia tropica,Northern Bettong
5301,Arctocephalus tropicalis,"Subantarctic Fur Seal, Amsterdam Island Fur Seal"
5302,Neomonachus tropicalis,"Caribbean Monk Seal, West Indian Monk Seal, West Indian Seal"
5303,Otomys tropicalis,Tropical Vlei Rat
5304,Geomys tropicalis,Tropical Pocket Gopher
5305,Cryptotis tropicalis,Tropical Small-eared Shrew
5306,Taphozous troughtoni,Troughton's Sheath-tailed Bat
5307,Vespadelus troughtoni,"Eastern Cave Bat, Troughton's Forest Bat"
5308,Sorex trowbridgii,Trowbridge's Shrew
5309,Podogymnura truei,"Mindanao Gymnure, Mindanao Moonrat, Mindanao Wood Shrew"
5310,Peromyscus truei,Pinyon Mouse
5311,Scotophilus trujilloi,Trujillo's House Bat
5312,Eumops trumbulli,NA
5313,Tursiops truncatus,"Common Bottlenose Dolphin, Bottle-nosed Dolphin, Bottlenosed Dolphin, Bottlenose Dolphin"
5314,Chlamyphorus truncatus,"Pink Fairy Armadillo, Lesser Fairy Armadillo, Lesser Pichi Ciego, Pichiciego"
5315,Muntiacus truongsonensis,"Annamite Muntjac, Annam Black Muntjac, Annamite Dark Muntjac, Pygmy Muntjac, Truongson Muntjac, Truong Son Muntjac"
5316,Cavia tschudii,Montane Guinea Pig
5317,Calomyscus tsolovi,"Tsolov's Mouse-like Hamster, Syrian Calomyscus"
5318,Mystacina tuberculata,New Zealand Lesser Short-tailed Bat
5319,Chalinolobus tuberculatus,"New Zealand Long-tailed Bat, Long-tailed Wattled Bat"
5320,Pteropus tuberculatus,Vanikoro Flying Fox
5321,Murina tubinaris,Scully's Tube-nosed Bat
5322,Ctenomys tuconax,Robust Tuco-tuco
5323,Ctenomys tucumanus,Tucuman Tuco-tuco
5324,Ctenomys tulduco,NA
5325,Praomys tullbergi,"Tullberg's Soft-furred Mouse, Tullberg's Praomys"
5326,Tylomys tumbalensis,"Tumbal Climbing Rat, Tumbala Climbing Rat"
5327,Rhogeessa tumida,Black-winged Little Yellow Bat
5328,Chilonatalus tumidifrons,"Bahamian Lesser Funnel-eared Bat, Bahaman Funnel-eared Bat"
5329,Natalus tumidirostris,Trinidadian Funnel-eared Bat
5330,Scapteromys tumidus,Swamp Rat
5331,Tarsius tumpara,Siau Island Tarsier
5332,Sorex tundrensis,"Tundra Shrew, TUNDRA SHREW"
5333,Rattus tunneyi,Pale Field Rat
5334,Crocidura turba,"Tumultuous Shrew, Turbo Shrew"
5335,Hipposideros turpis,"Lesser Leaf-nosed Bat, Lesser Great Leaf-nosed Bat, Lesser Roundleaf Bat"
5336,Ochotona turuchanensis,Turuchan Pika
5337,Alticola tuvinicus,"Tuva Silver Vole, Tuva Mountain Vole"
5338,Ichthyomys tweedii,Tweedy's Crab-eating Rat
5339,Marmosa tyleriana,Tyler's Mouse Opossum
5340,Glischropus tylopus,Common Thick-thumbed Bat
5341,Lepilemur tymerlachsoni,"Nosy Be Sportive Lemur, Hawks' Sportive Lemur"
5342,Notoryctes typhlops,"Itjaritjari, Marsupial Mole, Southern Marsupial Mole"
5343,Malacothrix typica,Gerbil Mouse
5344,Petromus typicus,Dassie Rat
5345,Reithrodon typicus,NA
5346,Eligmodontia typus,Lowland Gerbil Mouse
5347,Otomys typus,Typical Vlei Rat
5348,Gerbillurus tytonis,"Dune Hairy-footed Gerbil, Namib Dune Gerbil, Nimib Dune Gerbil"
5349,Calcochloris tytonis,Somali Golden Mole
5350,Pteropus ualanus,"Kosrae Flying Fox, Ualan Fruit Bat"
5351,Scolomys ucayalensis,Ucayali Spiny Mouse
5352,Mogera uchidai,"Senkaku Mole, Ryukyu Mole"
5353,Thomasomys ucucha,NA
5354,Rhynchocyon udzungwensis,"Grey-faced Sengi, Gray-faced Sengi, Grey-faced Elephant-shrew"
5355,Sorex ugyunak,Barren Ground Shrew
5356,Crocidura ultima,Ultimate Shrew
5357,Alouatta ululata,"Maranho Red-handed Howler Monkey, Maranho Red-handed Howler, Red-handed Howling Monkey"
5358,Platyrrhinus umbratus,Shadowy Broad-nosed Bat
5359,Thomomys umbrinus,"Animas Mountains Pocket Gopher, Southern Pocket Gopher"
5360,Neotamias umbrinus,"Uinta Chipmunk, Hidden Forest Chipmunk"
5361,Microtus umbrosus,Zempoaltepec Vole
5362,Dicrostonyx unalascensis,"Umnak Island Collared Lemming, Unalaska Collared Lemming"
5363,Panthera uncia,"Snow Leopard, Ounce"
5364,Eumops underwoodi,Underwood's Bonneted Bat
5365,Hylonycteris underwoodi,Underwood's Long-tongued Bat
5366,Orthogeomys underwoodi,Underwood's Pocket Gopher
5367,Rheomys underwoodi,Underwood's Water Mouse
5368,Cryptonanus unduaviensis,NA
5369,Urocitellus undulatus,Long-tailed Ground Squirrel
5370,Heliosciurus undulatus,Zanj Sun Squirrel
5371,Phenacomys ungava,Eastern Heather Vole
5372,Sorex unguiculatus,Long-clawed Shrew
5373,Meriones unguiculatus,"Mongolian Gerbil, Mongolian Jird"
5374,Onychogalea unguifera,"Northern Nailtail Wallaby, Northern Nail-tailed Wallaby"
5375,Cabassous unicinctus,Southern Naked-Tailed Armadillo
5376,Rusa unicolor,"Sambar, Indian Sambar, Sambar Deer"
5377,Phyllomys unicolor,Unicolored Tree Rat
5378,Avahi unicolor,"Sambirano Woolly Lemur, Sambirano Avahi"
5379,Rhinoceros unicornis,"Indian Rhinoceros, Greater One-horned Rhino, Great Indian Rhinoceros"
5380,Monodelphis unistriata,"Single-striped Opossum, One-striped Opossum, One-striped Short-tailed Opossum"
5381,Otomys unisulcatus,"Bush Vlei Rat, Karoo Bush Rat"
5382,Hybomys univittatus,"Peters' Hybomys, Peters' Striped Mouse"
5383,Batomys uragon,Mt. Isarog Hairy-tailed Rat
5384,Spalax uralensis,"Kazakhstan Blind Mole Rat, Ural Blind Mole Rat"
5385,Apodemus uralensis,"Herb Field Mouse, Pygmy Field Mouse, Ural Field Mouse"
5386,Calomyscus urartensis,"Urar Calomyscus, Urartsk Mouse-like Hamster"
5387,Necromys urichi,Northern Grass Mouse
5388,Callorhinus ursinus,Northern Fur Seal
5389,Melursus ursinus,Sloth Bear
5390,Ailurops ursinus,"Bear Cuscus, Bear Phalanger, Sulawesi Bear Cuscus, Sulawesi Bear Phalanger"
5391,Dendrolagus ursinus,"Vogelkop Tree Kangaroo, Black Tree-kangaroo, Vogelkop Tree-kangaroo, White-throated Tree Kangaroo"
5392,Papio ursinus,Chacma Baboon
5393,Vombatus ursinus,"Common Wombat, Coarse-haired Wombat"
5394,Herpestes urva,Crab-eating Mongoose
5395,Crocidura usambarae,"Usambara Shrew, Usambara Shrew"
5396,Abrocoma uspallata,Uspallata Chinchilla Rat
5397,Murina ussuriensis,Ussuri Tube-nosed Bat
5398,Saimiri ustus,"Golden-backed Squirrel Monkey, Bare-eared Squirrel Monkey, Golden-backed Squirel Monkey"
5399,Chiropotes utahickae,Uta Hick's Bearded Saki
5400,Abrocoma vaccarum,Mendozan Chinchilla Rat
5401,Felovia vae,Felou Gundi
5402,Muntiacus vaginalis,"Northern Red Muntjac, Barking Deer, Indian Muntjac, Indian Red Muntjac"
5403,Sorex vagrans,Vagrant Shrew
5404,Geoxus valdivianus,Long-clawed Mole Mouse
5405,Ctenodactylus vali,Val's Gundi
5406,Dendrohyrax validus,Eastern Tree Hyrax
5407,Ctenomys validus,Strong Tuco-tuco
5408,Gerbilliscus validus,Savanna Gerbil
5409,Gerbillurus vallinus,Bushy-tailed Hairy-footed Gerbil
5410,Pteropus vampyrus,"Large Flying-fox, Large Flying Fox"
5411,Marmota vancouverensis,Vancouver Island Marmot
5412,Rattus vandeuseni,Van Deusen's Rat
5413,Dorcopsulus vanheurni,"Small Dorcopsis, Lesser Forest Wallaby, Small Dorcopsulus"
5414,Saimiri vanzolinii,"Black-headed Squirrel Monkey, Black Squirrel Monkey"
5415,Pithecia vanzolinii,Vanzolini's Bald-faced Saki
5416,Kobus vardonii,Puku
5417,Varecia variegata,"Black-and-white Ruffed Lemur, Ruffed Lemur"
5418,Glauconycteris variegata,"Butterfly Bat, Leaf-winged Bat, Variegated Butterfly Bat"
5419,Dasyprocta variegata,NA
5420,Sciurus variegatoides,Variegated Squirrel
5421,Bradypus variegatus,"Brown-throated Sloth, Bolivian Three-toed Sloth, Brown-throated Three-toed Sloth"
5422,Galeopterus variegatus,"Sunda Flying Lemur, Malayan Flying Lemur"
5423,Otospermophilus variegatus,Rock Squirrel
5424,Suncus varilla,Lesser Dwarf Shrew
5425,Myosorex varius,Forest Shrew
5426,Akodon varius,"Variable Grass Mouse, Variable Akodont"
5427,Lasiurus varius,Cinnamon Red Bat
5428,Sylvilagus varynaensis,"Venezuelan Lowland Rabbit, Barinas Wild Rabbit"
5429,Chiruromys vates,"Lesser Tree Mouse, Lesser Chiruromys"
5430,Oligoryzomys vegetus,Sprightly Pygmy Rice Rat
5431,Histiotus velatus,Tropical Big-eared Brown Bat
5432,Nanonycteris veldkampii,Veldkamp's Bat
5433,Myotis velifer,Cave Myotis
5434,Rhogeessa velilla,NA
5435,Chaetophractus vellerosus,Screaming Hairy Armadillo
5436,Colobus vellerosus,"White-thighed Colobus, Geoffroy's Black-and-White Colobus, White-thighed Black-and-White Colobus"
5437,Vulpes velox,Swift Fox
5438,Potamogale velox,"Giant Otter Shrew, Giant Otter-shrew"
5439,Thylamys velutinus,"Dwarf Fat-tailed Mouse Opossum, Velvety Fat-tailed Opossum"
5440,Speothos venaticus,"Bush Dog, Savannah Dog, Vinegar Dog"
5441,Neusticomys venezuelae,Venezuelan Fish-eating Rat
5442,Rhipidomys venezuelae,Venezuelan Climbing Mouse
5443,Cryptotis venezuelensis,NA
5444,Sorex ventralis,Chestnut-bellied Shrew
5445,Tadarida ventralis,African Giant Free-tailed Bat
5446,Glironia venusta,Bushy-tailed Opossum
5447,Dipodomys venustus,Narrow-faced Kangaroo Rat
5448,Thamnomys venustus,Charming Thicket Rat
5449,Rhipidomys venustus,Charming Climbing Mouse
5450,Thylamys venustus,Buff-bellied Fat-tailed Mouse Opossum
5451,Calomys venustus,"Crdoba Laucha, Crdoba Vesper Mouse"
5452,Sorex veraecrucis,NA
5453,Sorex veraepacis,Verapaz Shrew
5454,Rattus verecundus,Slender Rat
5455,Congosorex verheyeni,Lesser Congo Shrew
5456,Paucidentomys vermidax,NA
5457,Dendromus vernayi,Vernay's Climbing Mouse
5458,Propithecus verreauxi,Verreaux's Sifaka
5459,Myomyscus verreauxii,"Verreaux's Mouse, Verreaux's White-footed Rat"
5460,Sus verrucosus,"Javan Warty Pig, Javan Pig"
