binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Blarinella wardi,14.22361675,LC,Omnivore,EULIPOTYPHLA
Blarinomys breviceps,36.79,LC,Insectivore,RODENTIA
Blastocerus dichotomus,112518.5,VU,Herbivore,CETARTIODACTYLA
Bos gaurus,721000,VU,Herbivore,CETARTIODACTYLA
Bos javanicus,635974.3,EN,Herbivore,CETARTIODACTYLA
Bos mutus,650000,VU,Herbivore,CETARTIODACTYLA
Boselaphus tragocamelus,182253,LC,Herbivore,CETARTIODACTYLA
Brachiones przewalskii,27,LC,Omnivore,RODENTIA
Brachylagus idahoensis,431.19,LC,Herbivore,LAGOMORPHA
Brachyphylla cavernarum,45.5,LC,Omnivore,CHIROPTERA
Brachyphylla nana,37.25,LC,Omnivore,CHIROPTERA
Brachytarsomys albicauda,200,LC,Omnivore,RODENTIA
Brachytarsomys villosa,219.99,VU,Omnivore,RODENTIA
Brachyteles arachnoides,10537.31,EN,Herbivore,PRIMATES
Brachyteles hypoxanthus,13500,CR,Herbivore,PRIMATES
Brachyuromys betsileoensis,93.58,LC,Omnivore,RODENTIA
Brachyuromys ramirohitra,92.31,LC,Omnivore,RODENTIA
Bradypus pygmaeus,2900,CR,Herbivore,PILOSA
Bradypus torquatus,4468.42,VU,Herbivore,PILOSA
Bradypus tridactylus,4375.8,LC,Herbivore,PILOSA
Bradypus variegatus,4136.36,LC,Herbivore,PILOSA
Brucepattersonius griserufescens,43,DD,Omnivore,RODENTIA
Brucepattersonius guarani,43,DD,Omnivore,RODENTIA
Brucepattersonius igniventris,43,DD,Omnivore,RODENTIA
Brucepattersonius iheringi,43,LC,Omnivore,RODENTIA
Brucepattersonius misionensis,43,DD,Omnivore,RODENTIA
Brucepattersonius paradisus,43,DD,Omnivore,RODENTIA
Brucepattersonius soricinus,43,DD,Omnivore,RODENTIA
Bubalus arnee,483500.485,EN,Herbivore,CETARTIODACTYLA
Bubalus depressicornis,256989.3,EN,Herbivore,CETARTIODACTYLA
Bubalus mindorensis,254389.7,CR,Herbivore,CETARTIODACTYLA
Bubalus quarlesi,181718.9,EN,Herbivore,CETARTIODACTYLA
Budorcas taxicolor,294515.3,VU,Herbivore,CETARTIODACTYLA
Bullimus bagobus,395.38,LC,Omnivore,RODENTIA
Bullimus gamay,420.19,VU,Omnivore,RODENTIA
Bullimus luzonicus,445,LC,Omnivore,RODENTIA
Bunolagus monticularis,1750.01,CR,Herbivore,LAGOMORPHA
Bunomys andrewsi,125,LC,Omnivore,RODENTIA
Bunomys chrysocomus,111.29,LC,Omnivore,RODENTIA
Bunomys coelestis,120,CR,Omnivore,RODENTIA
Bunomys fratrorum,130.31,VU,Omnivore,RODENTIA
Bunomys penitus,170,NT,Omnivore,RODENTIA
Bunomys prolatus,131,EN,Omnivore,RODENTIA
Burramys parvus,44.27,CR,Omnivore,DIPROTODONTIA
Cacajao calvus,3421.04,VU,Herbivore,PRIMATES
Cacajao hosomi,3271.31,VU,Omnivore,PRIMATES
Caenolestes caniventer,40,NT,Omnivore,PAUCITUBERCULATA
Caenolestes condorensis,47.81,VU,NotAssigned,PAUCITUBERCULATA
Caenolestes convelatus,31.56,VU,NotAssigned,PAUCITUBERCULATA
Caenolestes fuliginosus,28.64,LC,Carnivore,PAUCITUBERCULATA
Calcochloris obtusirostris,24.05,LC,Insectivore,AFROSORICIDA
Calcochloris tytonis,28.27,DD,Insectivore,AFROSORICIDA
Callicebus barbarabrownae,1050,CR,Omnivore,PRIMATES
Callicebus coimbrai,1050,EN,Omnivore,PRIMATES
Callicebus melanochir,1050,VU,Herbivore,PRIMATES
Callicebus nigrifrons,1050,NT,Herbivore,PRIMATES
Callicebus personatus,1390.8,VU,Omnivore,PRIMATES
Callimico goeldii,558,VU,Omnivore,PRIMATES
Callistomys pictus,518.99,EN,Herbivore,RODENTIA
Callithrix aurita,386.2,VU,Omnivore,PRIMATES
Callithrix flaviceps,372.97,EN,Omnivore,PRIMATES
Callithrix geoffroyi,342,LC,Omnivore,PRIMATES
